ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2018,"2018","04000US36","New York",73092,5254.3765567382015,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2018,"2018","04000US36","New York",19675,2234.4585473890534,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2018,"2018","04000US36","New York",41104,3852.872434950319,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2018,"2018","04000US36","New York",15022,2139.8422839078585,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2018,"2018","04000US36","New York",16310,2603.545467242698,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2018,"2018","04000US36","New York",8643,1530.4358856221322,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2018,"2018","04000US36","New York",11587,2058.2422112083896,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2018,"2018","04000US36","New York",1647,679.6506455525515,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2018,"2018","04000US36","New York",25167,3271.302645736099,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2018,"2018","04000US36","New York",2356,696.5349955314521,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2018,"2018","04000US36","New York",562,543.7986759822057,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2018,"2018","04000US36","New York",15162,2145.3302776029614,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2018,"2018","04000US36","New York",34318,3476.6227865559413,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2018,"2018","04000US36","New York",5245,1540.1383054777905,"Bronx County, NY","05000US36005","bronx-county-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2018,"2018","04000US36","New York",57385,4271.420372662939,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2018,"2018","04000US36","New York",30618,3207.9621257115864,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2018,"2018","04000US36","New York",6175,1328.007906602969,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2018,"2018","04000US36","New York",10096,1847.9937770457996,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2018,"2018","04000US36","New York",17176,2171.932089177744,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2018,"2018","04000US36","New York",15831,2083.2916262491913,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2018,"2018","04000US36","New York",30858,3317.426261426168,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2018,"2018","04000US36","New York",11105,1916.559939057477,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2018,"2018","04000US36","New York",43979,3922.213915634893,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2018,"2018","04000US36","New York",65018,5702.605895553366,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2018,"2018","04000US36","New York",41073,4411.204824081512,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2017,"2017","04000US36","New York",12171,2237.2563554496833,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2017,"2017","04000US36","New York",3209,953.8348913727156,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2017,"2017","04000US36","New York",11778,2162.384100940441,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2017,"2017","04000US36","New York",3417,1176.814768772044,"Bronx County, NY","05000US36005","bronx-county-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2017,"2017","04000US36","New York",54611,4554.204431072456,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2017,"2017","04000US36","New York",32819,3199.6601382021813,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2017,"2017","04000US36","New York",43962,4613.598378706148,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2017,"2017","04000US36","New York",35231,3500.496107696736,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2017,"2017","04000US36","New York",5834,1455.7901634507632,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2017,"2017","04000US36","New York",7563,1572.0003180661256,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2017,"2017","04000US36","New York",26877,2968.6651882622264,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2017,"2017","04000US36","New York",2111,682.9736451723448,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2017,"2017","04000US36","New York",18324,2522.427600546743,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2017,"2017","04000US36","New York",14186,2095.383735739113,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2017,"2017","04000US36","New York",14803,1803.6124860956136,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2017,"2017","04000US36","New York",5106,1251.404411051839,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2017,"2017","04000US36","New York",42013,3608.160888873998,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2017,"2017","04000US36","New York",11074,1758.693264898686,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2017,"2017","04000US36","New York",790,525.9515186782903,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2017,"2017","04000US36","New York",18715,2372.007588520745,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2017,"2017","04000US36","New York",46016,4305.4190272260375,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2017,"2017","04000US36","New York",55422,3659.73673916581,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2017,"2017","04000US36","New York",38666,3605.1997170753248,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2017,"2017","04000US36","New York",17734,2354.3561752632077,"Bronx County, NY","05000US36005","bronx-county-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2017,"2017","04000US36","New York",92819,5951.977486516561,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2016,"2016","04000US36","New York",14910,2219.3677027477893,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2016,"2016","04000US36","New York",8562,1725.1979596556448,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2016,"2016","04000US36","New York",15948,2009.5534329795762,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2016,"2016","04000US36","New York",7023,1290.3774641553534,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2016,"2016","04000US36","New York",6527,1466.2946497890525,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2016,"2016","04000US36","New York",364,347.7987924073343,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2016,"2016","04000US36","New York",16742,2322.6829314394163,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2016,"2016","04000US36","New York",16546,2876.659347229004,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2016,"2016","04000US36","New York",11184,2186.0878298915623,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2016,"2016","04000US36","New York",4307,1063.362591029043,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2016,"2016","04000US36","New York",16179,2371.8501217404105,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2016,"2016","04000US36","New York",49226,4492.6567863570435,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2016,"2016","04000US36","New York",2277,772.8725638810062,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2016,"2016","04000US36","New York",9612,1730.2508488655624,"Bronx County, NY","05000US36005","bronx-county-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2016,"2016","04000US36","New York",80201,5615.616172781042,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2016,"2016","04000US36","New York",16659,2122.975506217629,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2016,"2016","04000US36","New York",45822,3718.499159607273,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2016,"2016","04000US36","New York",41599,3946.2200901622296,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2016,"2016","04000US36","New York",31129,2782.642089813205,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2016,"2016","04000US36","New York",47752,4209.399957238562,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2016,"2016","04000US36","New York",26326,2623.065763567509,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2016,"2016","04000US36","New York",38376,3399.6577768946095,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2016,"2016","04000US36","New York",45148,4381.826331565412,"Bronx County, NY","05000US36005","bronx-county-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2016,"2016","04000US36","New York",54527,3980.3996030549492,"Bronx County, NY","05000US36005","bronx-county-ny"
